ID,Incomplete,Demand-Type,Demand-Unit,Demand-Offset,Demand-Directional,LS1-Family,LS1-Theta_0,LS1-Theta_1
WALL.002b,0,Peak Line Force,kNpm,0,1,normal,29.19,0.2
WALL.002c,0,Peak Line Force,kNpm,0,1,normal,14.59,0.2
WALL.003a,0,Peak Line Force,kNpm,0,1,normal,16.05,0.2
WALL.003b,0,Peak Line Force,kNpm,0,1,normal,43.78,0.2
WALL.003c,0,Peak Line Force,kNpm,0,1,normal,14.59,0.2
WALL.004a,0,Peak Wind Pressure,kPa,0,1,normal,1351.37,0.2
WALL.004b,0,Peak Internal Force,kN,0,1,normal,17.79,0.2
WCOV.001a,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.4
WCOV.001b,0,Peak Wind Pressure,kPa,0,1,normal,5.5,0.4
WCOV.002,0,Peak Wind Pressure,kPa,0,1,normal,3.2,0.2
WCOV.003,0,Peak Wind Pressure,kPa,0,1,lognormal,4.0,0.29
WIN.impact_resistant.001,0,Peak Wind Pressure,kPa,0,1,normal,6.7,0.3
WIN.regular.001a,0,Peak Wind Pressure,kPa,0,1,normal,3.35,0.3
WIN.regular.001b,0,Peak Wind Pressure,kPa,0,1,normal,2.4,0.2
WIN.regular.001c,0,Peak Interstory Drift Ratio,unitless,0,1,lognormal,0.2,0.2
WIN.regular.002a,0,Peak Wind Pressure,kPa,0,1,lognormal,1.8,0.2
WIN.regular.002b,0,Peak Wind Pressure,kPa,0,1,lognormal,3.6,0.2
WIN.regular.003a,0,Peak Wind Pressure,kPa,0,1,weibull,2.629,4.7
WIN.regular.003b,0,Peak Wind Pressure,kPa,0,1,weibull,1.853,4.8
WIN.regular.004,0,Peak Wind Pressure,kPa,0,1,weibull,2.87,4.08
WIN.regular.005a,0,Peak Wind Pressure,kPa,0,1,weibull,1.69,4.08
WIN.regular.005b,0,Peak Wind Pressure,kPa,0,1,weibull,2.704,4.08
WIN.regular.006,0,Peak Wind Pressure,kPa,0,1,weibull,5.071,4.08
WIN.regular.007,0,Peak Wind Pressure,kPa,0,1,normal,5.0,0.2
WIN.regular.008,0,Peak Wind Pressure,kPa,0,1,normal,3.33,0.2
WIN.regular.009,0,Peak Wind Pressure,kPa,0,1,normal,2.5,0.2
WIN.regular.010,0,Peak Wind Pressure,kPa,0,1,normal,1.78,0.2
WIN.shutters.001,0,Peak Wind Pressure,kPa,0,1,normal,5.03,0.3
WSH.001a,0,Peak Wind Pressure,kPa,0,1,normal,4.92,0.11
WSH.001b,0,Peak Wind Pressure,kPa,0,1,normal,6.03,0.4
WSH.002a,0,Peak Wind Pressure,kPa,0,1,normal,1.2,0.15
WSH.002b,0,Peak Wind Pressure,kPa,0,1,normal,1.53,0.15
WSH.003a,0,Peak Wind Pressure,kPa,0,1,normal,2.76,0.2
WSH.003b,0,Peak Wind Pressure,kPa,0,1,normal,3.51,0.2
